query_id,stratum,relevant_documents,relevant_over_limit
PLAIN-1710,mixed,16,10
PLAIN-1721,mixed,31,23
PLAIN-1731,mixed,3,1
PLAIN-1741,mixed,420,362
PLAIN-175,mixed,37,33
PLAIN-1752,all_over_limit,1,1
PLAIN-1762,mixed,8,7
PLAIN-1772,all_over_limit,2,2
PLAIN-1784,all_over_limit,2,2
PLAIN-1794,mixed,2,1
PLAIN-1805,mixed,116,92
PLAIN-1817,mixed,27,21
PLAIN-1827,all_over_limit,3,3
PLAIN-1837,mixed,196,163
PLAIN-1847,mixed,11,9
PLAIN-1857,mixed,33,29
PLAIN-186,mixed,24,21
PLAIN-1867,mixed,7,6
PLAIN-1877,mixed,36,25
PLAIN-1887,all_over_limit,4,4
PLAIN-1897,all_over_limit,2,2
PLAIN-1909,mixed,463,374
PLAIN-1919,mixed,27,23
PLAIN-1929,mixed,10,6
PLAIN-1940,mixed,12,7
PLAIN-1950,all_over_limit,13,13
PLAIN-196,mixed,69,60
PLAIN-1962,mixed,13,10
PLAIN-1972,mixed,11,9
PLAIN-1983,mixed,32,16
PLAIN-1995,mixed,11,9
PLAIN-2,mixed,24,19
PLAIN-2009,mixed,8,6
PLAIN-2019,mixed,3,2
PLAIN-2030,all_over_limit,6,6
PLAIN-2040,mixed,132,106
PLAIN-2051,mixed,355,288
PLAIN-2061,mixed,410,326
PLAIN-207,mixed,55,50
PLAIN-2071,mixed,45,32
PLAIN-2081,all_over_limit,1,1
PLAIN-2092,mixed,10,8
PLAIN-2102,mixed,421,335
PLAIN-2113,all_over_limit,1,1
PLAIN-2124,mixed,17,13
PLAIN-2134,mixed,12,9
PLAIN-2145,mixed,9,7
PLAIN-2156,mixed,6,4
PLAIN-2167,all_over_limit,1,1
PLAIN-217,mixed,36,33
PLAIN-2177,mixed,24,19
PLAIN-2187,mixed,9,8
PLAIN-2197,mixed,58,48
PLAIN-2209,all_over_limit,2,2
PLAIN-2220,all_over_limit,9,9
PLAIN-2230,mixed,7,6
PLAIN-2240,mixed,11,9
PLAIN-2250,all_within_limit,2,0
PLAIN-2261,mixed,60,47
PLAIN-227,mixed,40,32
PLAIN-2271,mixed,10,8
PLAIN-2281,all_over_limit,1,1
PLAIN-2291,mixed,5,4
PLAIN-23,mixed,90,77
PLAIN-2301,mixed,13,12
PLAIN-2311,mixed,2,1
PLAIN-2321,all_over_limit,5,5
PLAIN-2332,mixed,97,72
PLAIN-2343,all_over_limit,2,2
PLAIN-2354,all_over_limit,5,5
PLAIN-2364,mixed,15,10
PLAIN-2375,mixed,2,1
PLAIN-238,mixed,54,50
PLAIN-2386,mixed,19,10
PLAIN-2396,mixed,18,11
PLAIN-2408,mixed,5,4
PLAIN-2430,mixed,46,41
PLAIN-2440,mixed,21,19
PLAIN-2450,mixed,38,32
PLAIN-2460,mixed,31,28
PLAIN-2470,mixed,73,60
PLAIN-248,mixed,31,25
PLAIN-2480,mixed,18,16
PLAIN-2490,mixed,23,15
PLAIN-2500,mixed,7,6
PLAIN-2510,mixed,46,38
PLAIN-2520,mixed,73,50
PLAIN-2530,mixed,72,60
PLAIN-2540,mixed,21,19
PLAIN-2550,mixed,25,20
PLAIN-2560,mixed,21,19
PLAIN-2570,mixed,40,33
PLAIN-2580,mixed,23,18
PLAIN-259,mixed,14,10
PLAIN-2590,mixed,63,49
PLAIN-2600,mixed,10,8
PLAIN-2610,mixed,61,52
PLAIN-2620,mixed,55,47
PLAIN-2630,mixed,48,41
PLAIN-2640,mixed,48,41
PLAIN-2650,mixed,29,22
PLAIN-2660,mixed,27,24
PLAIN-2670,mixed,35,30
PLAIN-2680,mixed,14,6
PLAIN-2690,mixed,43,33
PLAIN-270,mixed,52,45
PLAIN-2700,mixed,10,8
PLAIN-2710,mixed,21,14
PLAIN-2720,mixed,36,30
PLAIN-2730,mixed,29,25
PLAIN-2740,mixed,50,40
PLAIN-2750,mixed,59,44
PLAIN-2760,mixed,8,7
PLAIN-2770,mixed,41,39
PLAIN-2780,mixed,22,20
PLAIN-2790,mixed,59,48
PLAIN-280,mixed,20,17
PLAIN-2800,mixed,24,22
PLAIN-2810,all_over_limit,8,8
PLAIN-2820,all_over_limit,8,8
PLAIN-2830,mixed,3,2
PLAIN-2840,mixed,17,14
PLAIN-2850,mixed,9,7
PLAIN-2860,all_over_limit,2,2
PLAIN-2870,mixed,5,4
PLAIN-2880,mixed,17,14
PLAIN-2890,mixed,29,26
PLAIN-2900,mixed,12,9
PLAIN-291,mixed,13,10
PLAIN-2910,mixed,15,14
PLAIN-2920,mixed,7,6
PLAIN-2930,mixed,14,12
PLAIN-2940,mixed,22,18
PLAIN-2950,mixed,2,1
PLAIN-2960,mixed,2,1
PLAIN-2970,mixed,9,6
PLAIN-2981,mixed,7,6
PLAIN-2991,all_over_limit,2,2
PLAIN-3001,all_over_limit,2,2
PLAIN-3014,all_over_limit,1,1
PLAIN-3026,all_within_limit,1,0
PLAIN-3037,mixed,4,3
PLAIN-3053,mixed,3,2
PLAIN-3063,all_over_limit,4,4
PLAIN-307,all_over_limit,3,3
PLAIN-3074,all_over_limit,1,1
PLAIN-3085,all_over_limit,2,2
PLAIN-3097,all_over_limit,4,4
PLAIN-3116,all_over_limit,1,1
PLAIN-3131,mixed,6,5
PLAIN-3141,mixed,34,30
PLAIN-3151,mixed,18,12
PLAIN-3161,mixed,43,33
PLAIN-3171,mixed,34,23
PLAIN-3181,mixed,27,21
PLAIN-3191,all_over_limit,16,16
PLAIN-320,mixed,42,40
PLAIN-3201,mixed,32,27
PLAIN-3211,mixed,18,9
PLAIN-3221,mixed,24,20
PLAIN-3231,all_over_limit,8,8
PLAIN-3241,mixed,29,23
PLAIN-3251,mixed,21,20
PLAIN-3261,mixed,13,9
PLAIN-3271,mixed,49,43
PLAIN-3281,mixed,26,19
PLAIN-3292,all_over_limit,7,7
PLAIN-33,mixed,32,27
PLAIN-3302,mixed,37,32
PLAIN-3312,mixed,13,8
PLAIN-332,all_over_limit,2,2
PLAIN-3322,mixed,79,71
PLAIN-3332,mixed,14,12
PLAIN-3342,all_over_limit,3,3
PLAIN-3352,mixed,39,32
PLAIN-3362,mixed,11,8
PLAIN-3372,mixed,14,12
PLAIN-3382,mixed,14,11
PLAIN-3392,mixed,23,18
PLAIN-3402,mixed,14,13
PLAIN-3412,mixed,49,40
PLAIN-3422,mixed,31,26
PLAIN-3432,mixed,42,35
PLAIN-344,mixed,61,52
PLAIN-3442,mixed,29,27
PLAIN-3452,mixed,17,12
PLAIN-3462,mixed,64,57
PLAIN-3472,mixed,17,12
PLAIN-358,mixed,3,2
PLAIN-371,all_over_limit,2,2
PLAIN-383,mixed,5,4
PLAIN-395,all_over_limit,3,3
PLAIN-407,mixed,3,2
PLAIN-418,all_over_limit,3,3
PLAIN-430,mixed,8,7
PLAIN-44,mixed,58,49
PLAIN-441,mixed,5,4
PLAIN-457,mixed,5,4
PLAIN-468,mixed,10,7
PLAIN-478,all_over_limit,1,1
PLAIN-488,mixed,15,12
PLAIN-499,mixed,34,31
PLAIN-510,mixed,6,4
PLAIN-520,all_over_limit,1,1
PLAIN-531,mixed,308,223
PLAIN-541,mixed,6,3
PLAIN-551,mixed,2,1
PLAIN-56,mixed,50,44
PLAIN-561,mixed,25,16
PLAIN-571,mixed,7,5
PLAIN-583,mixed,44,39
PLAIN-593,mixed,3,2
PLAIN-603,all_over_limit,1,1
PLAIN-613,mixed,10,9
PLAIN-623,mixed,41,32
PLAIN-634,mixed,21,17
PLAIN-645,mixed,29,18
PLAIN-660,mixed,475,379
PLAIN-671,all_within_limit,1,0
PLAIN-68,mixed,55,47
PLAIN-681,all_over_limit,1,1
PLAIN-691,mixed,21,19
PLAIN-701,mixed,8,7
PLAIN-711,mixed,57,49
PLAIN-721,mixed,25,16
PLAIN-731,mixed,54,48
PLAIN-741,mixed,19,14
PLAIN-751,mixed,7,6
PLAIN-761,mixed,6,5
PLAIN-771,all_within_limit,3,0
PLAIN-78,mixed,62,55
PLAIN-782,all_over_limit,2,2
PLAIN-792,mixed,6,4
PLAIN-806,mixed,96,64
PLAIN-817,all_over_limit,1,1
PLAIN-827,mixed,244,207
PLAIN-838,mixed,9,7
PLAIN-850,mixed,57,44
PLAIN-872,all_over_limit,1,1
PLAIN-882,mixed,15,10
PLAIN-892,mixed,92,74
PLAIN-902,mixed,4,1
PLAIN-91,mixed,64,52
PLAIN-913,mixed,34,29
PLAIN-924,mixed,32,27
PLAIN-934,mixed,101,80
PLAIN-946,mixed,31,25
PLAIN-956,mixed,206,166
PLAIN-966,all_over_limit,3,3
PLAIN-977,mixed,3,2
PLAIN-987,all_over_limit,3,3
PLAIN-997,all_within_limit,2,0
